# file...... output/trip_node_meter_file_1.csv
# date...... Wed Feb 15 13:17:16 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,trip_node_meter_0:measured_real_power, trip_node_meter_1:measured_real_power, trip_node_meter_2:measured_real_power, trip_node_meter_3:measured_real_power, trip_node_meter_4:measured_real_power, trip_node_meter_5:measured_real_power, trip_node_meter_6:measured_real_power, trip_node_meter_7:measured_real_power, trip_node_meter_8:measured_real_power, trip_node_meter_9:measured_real_power, trip_node_meter_10:measured_real_power
2021-12-26 13:00:00 UTC,+0,+0,+4418.62,+0,+0,+0,+0,+0,+0,+4416.22,+0
2021-12-26 13:15:00 UTC,+0,+4437.99,+0,+4437.99,+0,+0,+0,+0,+0,+0,+0
2021-12-26 13:30:00 UTC,+0,+4462.7,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 13:45:00 UTC,+0,+4419.3,+4419.3,+0,+0,+0,+0,+4419.3,+0,+4419.3,+4419.3
2021-12-26 14:00:00 UTC,+0,+4454.19,+0,+0,+0,+0,+0,+4454.19,+0,+0,+0
2021-12-26 14:15:00 UTC,+0,+0,+0,+0,+4465.29,+0,+0,+4465.29,+0,+0,+0
2021-12-26 14:30:00 UTC,+0,+4474.6,+0,+0,+4474.6,+0,+0,+4474.6,+0,+0,+0
2021-12-26 14:45:00 UTC,+0,+0,+0,+0,+4509.46,+4509.46,+0,+4509.46,+0,+0,+0
2021-12-26 15:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4466.65,+0
2021-12-26 15:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 15:30:00 UTC,+4428.5,+0,+0,+0,+0,+0,+0,+4428.5,+0,+0,+0
2021-12-26 15:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4483.81,+0
2021-12-26 16:00:00 UTC,+0,+4415.07,+4415.07,+4415.07,+0,+0,+0,+0,+0,+0,+0
2021-12-26 16:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 16:30:00 UTC,+0,+0,+0,+0,+4430.5,+0,+4430.5,+0,+0,+4428.09,+4428.09
2021-12-26 16:45:00 UTC,+0,+0,+4456.29,+0,+0,+0,+0,+0,+0,+4453.87,+4453.87
2021-12-26 17:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4512.74
2021-12-26 17:15:00 UTC,+0,+0,+0,+4454.83,+4454.83,+0,+0,+4454.83,+0,+0,+0
2021-12-26 17:30:00 UTC,+0,+4459.83,+0,+4459.83,+0,+0,+0,+0,+0,+0,+0
2021-12-26 17:45:00 UTC,+0,+0,+0,+4468.45,+0,+0,+0,+0,+0,+0,+0
2021-12-26 18:00:00 UTC,+0,+4385.71,+0,+0,+4385.71,+4385.71,+4385.71,+4385.71,+0,+0,+0
2021-12-26 18:15:00 UTC,+4423.18,+0,+0,+0,+4423.18,+0,+4423.18,+0,+0,+0,+4425.59
2021-12-26 18:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4435.96,+4435.96
2021-12-26 18:45:00 UTC,+0,+0,+0,+0,+4433.86,+0,+0,+0,+0,+0,+0
2021-12-26 19:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 19:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4488.18,+0,+0,+0
2021-12-26 19:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 19:45:00 UTC,+0,+0,+0,+0,+4487.51,+0,+4487.51,+0,+0,+4485.06,+4485.06
2021-12-26 20:00:00 UTC,+0,+0,+0,+4438.26,+0,+0,+4438.26,+0,+0,+0,+4435.84
2021-12-26 20:15:00 UTC,+0,+0,+0,+0,+0,+0,+4471.15,+0,+0,+0,+0
2021-12-26 20:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 20:45:00 UTC,+0,+0,+0,+4472.67,+0,+0,+0,+0,+0,+0,+0
2021-12-26 21:00:00 UTC,+0,+0,+0,+4476.5,+0,+0,+0,+0,+0,+4474.07,+0
2021-12-26 21:15:00 UTC,+0,+0,+0,+0,+0,+0,+4430.3,+0,+0,+4420.65,+4420.65
2021-12-26 21:30:00 UTC,+0,+0,+0,+4451.15,+0,+0,+0,+0,+0,+4448.72,+0
2021-12-26 21:45:00 UTC,+0,+0,+0,+0,+0,+0,+4461.96,+0,+0,+4457.1,+0
2021-12-26 22:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4441.81
2021-12-26 22:15:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4434.07,+0,+4431.65,+0
2021-12-26 22:30:00 UTC,+0,+0,+4490.02,+0,+0,+0,+4490.02,+0,+0,+0,+0
2021-12-26 22:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 23:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 23:15:00 UTC,+4448.5,+0,+0,+4448.5,+4448.5,+0,+0,+0,+0,+0,+0
2021-12-26 23:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-26 23:45:00 UTC,+0,+0,+0,+0,+0,+0,+4416.4,+0,+0,+4416.4,+0
